Index,Checked,Date,Channel Name,Youtube Link,Subscribers,Average views
,FALSE,August 11,WadZee,https://www.youtube.com/c/WadZeeYT/about,3.6M,1.1M
,FALSE,August 11,KKrunchie,https://www.youtube.com/c/KKrunchiee/about,53.5K,175K
,FALSE,August 11,Rektway,https://www.youtube.com/c/Rektway/videos,273K,441.7K
,FALSE,August 11,Andre Nicholas,https://www.youtube.com/c/AndreNicholas/about,142K,283K
,FALSE,August 11,Checkpoint,https://www.youtube.com/c/TheCheckpoint/about,1.71M,725.2K
,FALSE,August 11,TGG,https://www.youtube.com/c/TGG01/videos,876K,277.5K
,FALSE,August 11,SpyCakes,https://www.youtube.com/c/SpyCakes/about,2.49M,195K
,FALSE,August 11,SypherPK,https://www.youtube.com/c/SypherPK/about,5.31M,1.047M
,FALSE,August 11,Lachlan,https://www.youtube.com/c/lachlan/about,14.7M,1.058M
,FALSE,August 11,Fresh,https://www.youtube.com/c/mrfreshasian/about,7.49M,683.3K
,FALSE,September 1,TG Plays,https://www.youtube.com/channel/UCqVCSWnuOSPm26orvNDTuWQ,4.09M,666.33K
,FALSE,September 1,Top5Gaming,https://www.youtube.com/channel/UCYn6CZe5UGIyPe9WJb0pTrg/about,5.01M,824.8K
,FALSE,September 1,Nimii,https://www.youtube.com/c/Nimii/videos,1.33M,311K
,FALSE,September 1,MrTop5,https://www.youtube.com/channel/UC_jQ64mgxDbvATLv94lMwaw/videos,4.16M,365K
,FALSE,September 1,Zylaz,https://www.youtube.com/c/ZylazYT/videos,212K,267.5K
,FALSE,September 1,McCreamy,https://www.youtube.com/c/McCreamy/about,7.13M,787.3K
,FALSE,September 1,TenZ,https://www.youtube.com/c/TenZ/about,973K,376.5K
,FALSE,September 1,Zendex,https://www.youtube.com/c/Zendex69/about,1.01M,200K
,FALSE,September 1,DanTDM,https://www.youtube.com/c/DanTDM/about,25.5M,954K
,FALSE,September 1,Mud Flaps,https://www.youtube.com/watch?v=6USC9lqj7oU,180K,144K
,FALSE,September 1,SoaR Dylan,https://www.youtube.com/c/SoaRDylan/videos,2.12M,165.1K
,FALSE,September 1,cxltures,https://www.youtube.com/channel/UCilYbCsEDmq_Eq3FjMWjJOg/videos,787K,144.6K
,FALSE,September 1,itsJerian,https://www.youtube.com/c/itsJerian/about,1.34M,220.67K
,FALSE,September 1,Martoz,https://www.youtube.com/c/MartozYT/about,1.17M,269K
,FALSE,September 1,I Talk,https://www.youtube.com/c/ITalkFortnite/about,969K,125.42K
,FALSE,September 1,FaZe Flea,https://www.youtube.com/c/Flea/about,1.8M,125K
,FALSE,September 1,Clix,https://www.youtube.com/channel/UCym0XKpmoSl594oT9yhEk0Q/about,1.74M,214K
,FALSE,September 1,Ali-A,https://www.youtube.com/c/alia/about,17.5M,668K
,FALSE,September 1,jacksucksatlife,https://www.youtube.com/user/JackSucksAtMinecraft,1.78M,328k
,FALSE,September 1,DannyAarons,https://www.youtube.com/channel/UCnhZnnJOx-WnAH7HINmS8qQ,489k,313k
,FALSE,September 1,Skipthetutorial,https://www.youtube.com/channel/UC3xZYc4SZUGfRERIvDRGqDQ,,
,FALSE,September 15,Mysticat,https://www.youtube.com/c/MysticatLive/videos,271K,1.306M
,FALSE,September 15,Ninja,https://www.youtube.com/c/Ninja/about,24.1M,122.7K
,FALSE,September 15,WaterishPuppy,https://www.youtube.com/c/WaterishPuppy/about,65.6K,578K
,FALSE,September 15,Duckio,https://www.youtube.com/c/Duckio/about,686K,137K
,FALSE,September 15,EvanMCGaming,https://www.youtube.com/c/EvanMCGaming/videos,811K,1.8M
,FALSE,September 15,Luke TheNotable,https://www.youtube.com/c/LukeTheNotable/videos,4.01M,350K
,FALSE,September 15,Ghoulz,https://www.youtube.com/c/Ghoulz1/about,1.69M,270.3K
,FALSE,September 15,DropNade,https://www.youtube.com/user/morocho244/about,714K,118.5K
,FALSE,September 15,Mtashed,https://www.youtube.com/c/MTashed/about,789K,169.3K
,FALSE,September 15,Muselk,https://www.youtube.com/c/MrMuselk/about,9.42M,330.5K
,FALSE,September 15,IWinToLose Gaming,https://www.youtube.com/c/IWinToLose/about,147K,335.8K
,FALSE,September 15,Moga,https://www.youtube.com/c/MogawtyOfficial/about,375K,261.17K
,FALSE,September 15,Xlice,https://www.youtube.com/c/XliceTV/about,140K,113K
,FALSE,September 15,Tuonto,https://www.youtube.com/c/Tuonto/about,562K,348.33K
,FALSE,September 15,AsianGuyStream,https://www.youtube.com/c/AsianGuyStream/about,169K,205K
,FALSE,September 23,Flights,https://www.youtube.com/c/Flightss/about,645K,227K
,FALSE,September 23,Hindustan Gamer Loggy,https://www.youtube.com/c/HindustanGamerLoggy/about,5.89M,1.19M
,FALSE,September 23,VuxVux,https://www.youtube.com/c/VuxVux/about,3.18M,800K
,FALSE,September 23,Tiko,https://www.youtube.com/c/TikoYTOfficial/about,6.35M,303.5K
,FALSE,September 23,By Post,https://www.youtube.com/channel/UC8FVjO_NH1RE-C_oVauyWSw/about,347K,415.67K
,FALSE,September 23,Tomato - Fortnite,https://www.youtube.com/channel/UC3yHtryql8S7y2jukpFsZSg/about,1.77M,280.25K
,FALSE,September 23,Rifty,https://www.youtube.com/c/Rifty/about,1.87M,420K
,FALSE,September 23,MrLowlander,https://www.youtube.com/c/MrLowlander/about,294K,148K
,FALSE,October 24,Not Safe,https://www.youtube.com/c/NotSafe/about,717K,1M
,FALSE,October 24,GEVids,https://www.youtube.com/c/GEVids/about,2.6M,100K
,FALSE,October 24,GOIS,https://www.youtube.com/channel/UCEIzrF00OYA8B-WqAN5vUmg/about,641K,1M
